comment,topic,cluster,pred_topic
weight loss acai berry diet improvement acai berry diet individual large amount accept,55,71,Weight loss and acai berry products
trial pirate suspected hijacking south korean freighter samho jewelry arabian sea,107,58,Pirates and maritime security
beth yarrow memorial award medical science university south wale australia beasi,97,78,Scholarships and international awards
obama care,22,35,Healthcare reform legal battles
journalist harassed attacked detained cairo nigh cnn ben wedema,66,25,Egypt-related political news
professor ken albala wrote op taco bell meat,20,3,Taco Bell lawsuit
anti government protest start yemen,79,21,Middle East protests
alarabiya crew attacked pro mubarak protester cairo egypt,66,25,Egyptian protests and museum protection
taco bell lawsuit claim chain beef meat,20,3,Taco Bell lawsuit
oscar nominee,88,33,Awards season: Oscars and SAG
michelle obama atlanta move campaign,65,47,Lady Michelle Obama fitness campaign
big news chicago rahm emanuel eligible chicago mayor court,21,46,Rahm Emanuel ballot case
topix super bowl football gree jpg christina aguilera flubbed belted,75,65,Christina Aguilera’s national anthem mishap
pew republican democrat social medium,45,40,Social media for politics
supreme court issue landmark decision constitution void,89,42,Healthcare reform legal battles
bomber kill russia biggest airport,36,17,Moscow airport bombing
acai berry weight loss diet plan healthy weight reduction,55,71,Weight-loss diets and acai berry
man tased mpd fight fishing tourney jan year cable wisconsin man,60,59,Fishing events and gear
today jan judge declares obamacare total thought,22,24,Healthcare reform legal battles
gamble care egyptian museum artifact freedom people egypt,10,7,Egyptian protests and museum protection
assistance offered student aid form,97,75,College financial aid insights
super bowl commercial,99,52,Super Bowl commercials
study red light camera save life,64,11,Red-light cameras and studies
perfect super bowl party food bbq chicken pouch post,87,16,Chicken recipes and food ideas
fave st half commercial doritos grandpa superbowl,99,68,Epic Doritos Superbowl commercials
king speech boardwalk empire nab sag award king speech continued reign hbo prohibiti,88,45,Awards season: Oscars and SAG
doritos super bowl commercial offensive video dorito,99,68,Epic Doritos Superbowl commercials
supreme court pass poultry case,89,24,Chicken recipes and food ideas
dreamed men ship game ausopen murray djokovic great showdown,71,60,Australian Open tennis championship
best worst super bowl commercial,99,52,Super Bowl ad reviews
remembering alex brown,104,86,Safe driving pledges
textin driving remember alex brown teamfresh,104,86,Safe driving pledges
ten thousand march yemen president ap news,79,85,Yemen protest news
djokovic british hope fading usual sorus murray,71,60,Australian Open tennis championship
australian disaster linked global warming,29,50,Natural disasters and climate change
egyptian uprising play social medium site despite government internet restriction egypt,45,25,Social media for politics
kardashian love mami,72,55,Kardashians
lady obama call move fitness nutrition campaign national,65,47,Lady Michelle Obama fitness campaign
illinois court emanuel stay chicago ballot chicago reuters white house chief st news,21,46,Rahm Emanuel ballot case
fly fishing,60,81,Fishing
stein report gt south dakota bill target illegal immigration,82,26,Fast food and immigration policies
tennis star hoping third time lucky scottish tennis star andy murray set break duck grand,71,60,Australian Open tennis championship
steve job health private matter joe wilcox betanewssadly reaffirm position stated du,106,59,Steve Jobs’ health and impact on Apple
doritos commercial clear doritos work superbowl,99,68,Epic Doritos Superbowl commercials
faster forward news corp launch tablet daily app ipad designed scratch dail,54,1,Electronics and gadgets
foxchicago blizzard trap driver lsd hour,57,82,Chicago blizzard: Historic snowstorm
white stripe broke feel inevitable duo remarried gonna work commonsense,17,64,White Stripe breakup announcement
thousand rally government yemen,79,85,Middle East protests
anton yelchin choked felicity jones mtv sundance celebrity photo booth,96,59,Celebrity gossip and pop culture
physically congratulate pepsi woman physically harmed making commercial brandbowl superbowl,99,44,Super Bowl ad reviews
justin influence text drive,104,41,Safe driving pledges
vital sign helmet guard aaron rodgers,84,82,Concussions and sports injuries
great info college financial aid time apply,97,75,College scholarships and financial aid
carney picked obama press secretary mike allen politico,44,26,Social media for politics
npr news ill high court emanuel chicago mayor,21,46,Rahm Emanuel ballot case
suicide bombing moscow airport kill,36,17,Moscow airport bombing
kayak fishing extreme sport wavewalk fishing kayak angler kayak fishing extreme sport,60,28,Fishing events and gear
king speech lead oscar nomination nomination,88,39,Awards season: Oscars and SAG
judge strike healthcare reform law unjust law unjust men gandhi,22,35,Healthcare reform legal battles
extremely good analysis difficult will murdoch money daily blog,54,22,Stock market and investing
birthers hawaii bill charge president obama birth record effort silence birthers,41,42,Social media for politics
doritos funnyass commercial superbowl pug ftw,99,68,Epic Doritos Superbowl commercials
budlight commercial superbowl fingerscrossed,99,34,Budweiser and beer-related ads
amazes taco bell lawsuit usda call beef taco percent beef meat realfood,20,3,Taco Bell lawsuit
fishnewseu issf urge limit tuna fishing capacity international seafood sustainabili eu tweet daily,60,81,Fishing
dead moscow airport explosion,36,17,Moscow airport bombing
defglam christina aguilera apologizes screwing national anthem,75,65,Christina Aguilera’s national anthem mishap
breaking news federal court rule obamacare afternoon federal judge florida ruled,22,69,Healthcare reform legal battles
al jazeera protestors create human shield egyptian museum protect egypt egipto jan,10,7,Egyptian protests and museum protection
long awaited era djokovic australianopen replay,71,60,Australian Open tennis championship
fda approves drug reduce risk premature birth time,58,24,FDA drug approvals
watching rite therite,14,36,Movies on exorcism
online american social networking twitter republican catch democrat social,45,63,Social media for politics
guardian music birmingham city council cut bcmg reversed protest kicking fuss work,51,18,Egyptian protests and museum protection
ice fishing iowa,60,8,Fishing events and gear
personal loan debt consolidation,74,57,Consumer debt consolidation
stealth mode making invisible facebook personal finance news yahoo fina,95,53,Facebook and privacy settings
acai berry weight loss diet plan healthy weight reduction,55,71,Weight-loss diets and acai berry
kia optimum epic ride big game commercial,99,48,Mercedes Benz and Kia Superbowl commercials
glenn beck france fox piven york time falsely depicts controversy tcot,40,26,Social media influence in democracy
post christina aguileras national anthem apology slammed taylor hick christina aguileras nation,75,65,Christina Aguilera’s national anthem mishap
haha arod fed doritos commercial superbowl,99,34,Epic Doritos Superbowl commercials
kristin kreuk sundance stroll rachael leigh cook kristin kreuk rachael leigh cook greet crowd,96,72,Sundance Film Festival
sundance film festival celebrity sighting,96,23,Sundance Film Festival
journalist social medium report egyptian demonstration audioboo,45,25,Egyptian protests and museum protection
interested fly fishing guide prague,60,81,Fishing
homerun ohio chrysler superbowl commercial struck chord detroiters,99,5,Super Bowl commercials
drive text include tweeting,104,61,Safe driving pledges
firth portman bale leo win screen actor prize ap king speech won best actor trophy sunday,88,45,Awards season: Oscars and SAG
facebook privacy setting user,95,53,Facebook and privacy settings
state union small business key winning future small business fu,32,75,Stock market and investing
family ice fishing clinic derby idaho fishing idaho,60,66,Fishing events and gear
oscar nod best picture torn king speech inception,88,39,Awards season: Oscars and SAG
charity slam asbo replacement plan tackle anti social behaviour will repla,90,75,Social media for politics
dead moscow airport explosion explosion attributed russia investigative committee cnn,36,17,Moscow airport bombing
catch catfish hand,60,81,Fishing events and gear
stock market daily stock market analysis january nse asi retreat,92,57,Stock market and investing
